2020-07-15 14:40:50,843 INFO o.s.b.StartupInfoLogger [main] Starting TareaTest on MX3500906DC0278 with PID 40580 (started by X03543UR in C:\Users\X03543UR\Documents\NetBeansProjects\prueba_meep)
2020-07-15 14:40:50,898 INFO o.s.b.SpringApplication [main] No active profile set, falling back to default profiles: default
2020-07-15 14:40:54,236 INFO o.s.b.StartupInfoLogger [main] Started TareaTest in 3.911 seconds (JVM running for 7.434)
2020-07-15 14:40:55,910 INFO e.m.p.h.Tarea [scheduling-1] ----------------------------------------------------------------------------------------------------------
2020-07-15 14:40:55,910 INFO e.m.p.h.Tarea [scheduling-1] cantidad de vehículos: 82
2020-07-15 14:40:55,910 INFO e.m.p.h.Tarea [scheduling-1] ----------------------------------------------------------------------------------------------------------
2020-07-15 14:40:55,916 INFO e.m.p.h.Tarea [scheduling-1] Vehículos con bateria al 25% o menos: 9
2020-07-15 14:40:55,916 INFO e.m.p.h.Tarea [scheduling-1] Vehículos con bateria al 75% o mas: 22
2020-07-15 14:40:55,917 INFO e.m.p.h.Tarea [scheduling-1] Vehiculo{id=VR1URHNKKKW111735, name=158_89ZF53, range=232, batteryLevel=29, helmets=0, model=null DS3, resourceType=ELECTRIC_CAR, companyZoneId=467}
2020-07-15 14:40:55,917 INFO e.m.p.h.Tarea [scheduling-1] Vehiculo{id=PT-LIS-A00362, name=15ZC50, range=75, batteryLevel=100, helmets=2, model=Askoll, resourceType=MOPED, companyZoneId=473}
2020-07-15 14:40:55,918 INFO e.m.p.h.Tarea [scheduling-1] Vehiculo{id=PT-LIS-A00098, name=11VJ01, range=32, batteryLevel=42, helmets=2, model=Askoll, resourceType=MOPED, companyZoneId=473}
2020-07-15 14:40:55,918 INFO e.m.p.h.Tarea [scheduling-1] Vehiculo{id=PT-LIS-A00329, name=84ZB47, range=31, batteryLevel=41, helmets=2, model=Askoll, resourceType=MOPED, companyZoneId=473}
2020-07-15 14:40:55,918 INFO e.m.p.h.Tarea [scheduling-1] Vehiculo{id=PT-LIS-A00033, name=46VF91, range=56, batteryLevel=74, helmets=2, model=Askoll, resourceType=MOPED, companyZoneId=473}
2020-07-15 14:40:55,919 INFO e.m.p.h.Tarea [scheduling-1] Vehiculo{id=PT-LIS-A00105, name=11VJ44, range=36, batteryLevel=48, helmets=2, model=Askoll, resourceType=MOPED, companyZoneId=473}
2020-07-15 14:40:55,919 INFO e.m.p.h.Tarea [scheduling-1] Vehiculo{id=PT-LIS-A00423, name=02ZB86, range=35, batteryLevel=46, helmets=2, model=Askoll, resourceType=MOPED, companyZoneId=473}
2020-07-15 14:40:55,920 INFO e.m.p.h.Tarea [scheduling-1] Vehiculo{id=PT-LIS-A00326, name=87ZB56, range=45, batteryLevel=60, helmets=2, model=Askoll, resourceType=MOPED, companyZoneId=473}
2020-07-15 14:40:55,920 INFO e.m.p.h.Tarea [scheduling-1] Vehiculo{id=PT-LIS-A00351, name=03ZB72, range=14, batteryLevel=18, helmets=2, model=Askoll, resourceType=MOPED, companyZoneId=473}
2020-07-15 14:40:55,920 INFO e.m.p.h.Tarea [scheduling-1] Vehiculo{id=PT-LIS-A00408, name=15ZC68, range=46, batteryLevel=61, helmets=2, model=Askoll, resourceType=MOPED, companyZoneId=473}
2020-07-15 14:40:55,923 INFO e.m.p.h.Tarea [scheduling-1] Vehiculo{id=PT-LIS-A00063, name=84VI43, range=30, batteryLevel=40, helmets=2, model=Askoll, resourceType=MOPED, companyZoneId=473}
2020-07-15 14:40:55,924 INFO e.m.p.h.Tarea [scheduling-1] Vehiculo{id=PT-LIS-A00484, name=14ZC97, range=66, batteryLevel=88, helmets=2, model=Askoll, resourceType=MOPED, companyZoneId=473}
2020-07-15 14:40:55,924 INFO e.m.p.h.Tarea [scheduling-1] Vehiculo{id=PT-LIS-A00401, name=01ZB89, range=30, batteryLevel=40, helmets=2, model=Askoll, resourceType=MOPED, companyZoneId=473}
